id,coord_x,coord_y,join_id,join_@id,join_addr_city,join_addr_house,join_addr_postc,join_addr_stree,join_building,join_building_l,join_level,join_name,join_opening_ho,join_phone,join_roof_level,join_shop,join_website,join_addr_count,join_building_c,join_email,join_height,join_internet_a,join_roof_colou,join_roof_shape,join_operator,join_source,join_wheelchair,join_wikidata,distance
2866,1915661.4,4225201.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1259.90977986834
2867,1913065.9,4225716,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1536.43010396522
2868,1912855.8,4225652.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1698.60810434278
2869,1912645.5,4221902.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3560.11706402072
2870,1914771.6,4220686.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,4317.01313843485
2871,1914430.2,4221427.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3561.64780567693
2872,1914221.1,4222212.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2783.71218610713
2873,1914458.8,4221455.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3533.85012648936
2874,1914516.2,4221458.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3531.95531234146
2875,1912956.8,4222989.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2477.51275794949
2876,1915812.5,4223565,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1992.12245320751
2877,1912714.6,4221978,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3460.29738106745
2878,1915330,4225088.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,915.8889719305
