id;station_name;latitude;longitude
1;Fontaine les Balmes;45.1905;5.68697
2;Grenoble Grands Boulevards;45.18075;5.72006
3;Grenoble les Frenes;45.16223;5.73567
4;Grenoble Rocade Sud;45.15843;5.70376
5;Saint-Martin d'Heres;45.18303;5.75325
