id,coord_x,coord_y,join_osm_id,join_name,join_type,join_oneway,join_bridge,join_tunnel,join_maxspeed,distance
81,1914941,4222444,49789256,Avenue Malherbe,tertiary,1,,,31,6.19761425856576
82,1913059.2,4225714,34700546,Rue Durand-Savoyat,secondary,,,,51,9.17048387650289
83,1914421.4,4223824,292453864,Avenue Albert 1er de Belgique,path,1,,,,6.66679458770575
84,1912489.9,4222689,199258327,,residential,1,,,31,5.80214469026193
85,1915564.2,4222279,60400481,,cycleway,1,,,,2.5617116806388
86,1914693.9,4225193.5,4787030,Avenue Maréchal Randon,tertiary,1,,,31,8.01727233463403
87,1912087,4226322.5,238481515,Place de la Résistance,secondary,1,,,51,3.86049465787742
88,1912994.5,4225530.5,197211539,Rue Henri Tarzé,unclassified,,,,31,7.29784455679051
89,1915265.4,4222820,293837405,,footway,,,,,3.18089781969283
90,1915527,4222802.5,95436041,Rue de Kaunas,residential,,,,31,4.56603357069189
91,1912061.2,4226357.5,296319812,Place de la Résistance,secondary,1,,,51,5.03316863673235
92,1914218.2,4222207.5,4221478,Allée des Romantiques,residential,1,,,31,8.97869642450722
93,1914843.9,4222334,53563442,,steps,,,,,2.30091303664393
94,1912768.4,4222131.5,29417256,Avenue Beaumarchais,unclassified,,,,31,10.0736789461648
95,1915496.6,4222684.5,4015324,Avenue Paul Cocat,tertiary,,,,31,4.13210179722926
96,1912831.9,4221872.5,330138756,,footway,,,,,10.4561867737925
97,1915153.9,4225734.5,4787038,Avenue Maréchal Randon,tertiary,1,,,,2.56814694399138
98,1913271.6,4223596.5,5990508,Boulevard Joseph Vallier,primary,1,,,51,4.80383358190339
99,1912821,4224997,300123458,Rue Pierre Semard,tertiary,,,,31,10.0148149171685
100,1915010.4,4222514.5,50253241,,footway,,,,,0.0711080104988178
101,1914004,4221964,25898531,,pedestrian,,,,,4.08091426756579
102,1914085.2,4223010.5,142169706,Rue Jacquard,unclassified,,,,31,8.1292823499933
103,1914718.2,4225375.5,221402458,,footway,,,,,7.62891002816538
104,1913958.2,4224593,237663646,Avenue Alsace Lorraine,footway,,,,,1.19314156297813
105,1913745.6,4225219.5,385925532,,footway,,,,,1.02121821569016
106,1912699.6,4223197,120475898,Rue Paul Painlevé,unclassified,,,,,7.35412386358803
107,1915017.9,4225600.5,220467894,Avenue Maréchal Randon,tertiary,1,,,,2.48300728528552
108,1914522.2,4223970.5,245066290,Boulevard Maréchal Joffre,primary,1,,,51,4.62058265605552
109,1912726.8,4221733.5,330138755,,footway,,,,,8.84506138695249
110,1912370.2,4222187,125336033,,path,,,,,7.37981420121722
