id,coord_x,coord_y,join_osm_id,join_name,join_type,join_population,distance
10898,1912530.1,4221689,3768518877,Mistral - Bachelard,suburb,,493.584764473818
10899,1915452.2,4224616,550137565,Pont Carpin,quarter,,459.93320700884
10900,1916079.2,4223216,3837354216,Châtelet,Voisinage,,274.553486254322
10901,1914897.1,4225916.5,3845606660,Petite Tronche,neighbourhood,,273.391474166532
10902,1913027.6,4221183.5,2140400356,Rondeau,neighbourhood,,699.583432175793
10903,1913779.4,4223922.5,26686589,Grenoble,city,155637,61.7579387459791
10904,1912673.9,4222216,3768518877,Mistral - Bachelard,suburb,,90.473091284076
10905,1915259.8,4224677,3883913692,Mutualité,neighbourhood,,260.98847308587
10906,1915348.5,4225379,699050814,La Pièce Longue,locality,,269.774685210755
10907,1915277.8,4222918,1822915468,La Bruyère,neighbourhood,,812.410790954855
10908,1914097.1,4222004,3840890815,Clos d'Or,neighbourhood,,459.595516003703
10909,1913769.8,4224889,443945403,Championnet,neighbourhood,,702.433566773486
10910,1915279,4223143,3837354216,Châtelet,Voisinage,,824.108248254541
10911,1913723.5,4222815,3840890815,Clos d'Or,neighbourhood,,592.469282652871
10912,1915274.8,4224743,3883913692,Mutualité,neighbourhood,,254.719167407167
10913,1915547,4225021,3845606659,Les Sablons,locality,,388.563426214111
10914,1914113.5,4222817.5,3840890815,Clos d'Or,neighbourhood,,372.559566546495
10915,1913438.9,4225577,2683438658,Le Clos des Fleurs,neighbourhood,,295.685460176936
10916,1915537.6,4222404,1822915467,Helbronner,neighbourhood,,410.567598278416
10917,1915719.2,4225368.5,699050814,La Pièce Longue,locality,,182.109877522028
10918,1914424.6,4222814,3840890815,Clos d'Or,neighbourhood,,428.537787777515
10919,1914518.6,4221421,1822915466,Constantine,neighbourhood,,396.560178455834
10920,1914364.2,4224617,3883913693,Préfecture,neighbourhood,,375.881739548167
10921,1914483.5,4221690,1822915465,Arlequin,neighbourhood,,399.808282952641
10922,1914112.5,4223092,3840890815,Clos d'Or,neighbourhood,,643.542335946099
10923,1912597,4221693.5,3768518877,Mistral - Bachelard,suburb,,466.724530155883
10924,1913002,4225213,3363841337,Arago,neighbourhood,,236.278924830848
10925,1913410.6,4224390.5,2126097950,L'Estacade,neighbourhood,,193.074681770455
10926,1915124.8,4223166.5,3837354216,Châtelet,Voisinage,,958.380506417511
10927,1915311.1,4224796.5,3883913692,Mutualité,neighbourhood,,286.782576489836
10928,1913549.2,4225226.5,3363841337,Arago,neighbourhood,,410.850881483429
10929,1915240.1,4221068.5,1051603116,Les Géants,neighbourhood,,530.39550251821
10930,1915330.6,4225073.5,3883913692,Mutualité,neighbourhood,,417.496069917864
10931,1913185.4,4222795,3768518877,Mistral - Bachelard,suburb,,798.371057815892
10932,1913375.1,4223605,919369579,L'Aigle,neighbourhood,,375.625806155302
10933,1915636.2,4222967,3837354216,Châtelet,Voisinage,,650.390432896165
