id,join_Station,distance
142,Saint-Martin d'Heres,785.376781371108
143,Grenoble les Frenes,1216.68653951911
144,Saint-Martin d'Heres,1420.42041444779
145,Grenoble Grands Boulevards,2601.66579518159
146,Grenoble les Frenes,489.30809102506
147,Grenoble Grands Boulevards,743.42363842191
148,Grenoble les Frenes,1265.14122835216
149,Grenoble Grands Boulevards,1200.65390286521
150,Grenoble Grands Boulevards,696.181662659441
151,Grenoble Grands Boulevards,444.91751909401
152,Grenoble les Frenes,747.401920521217
153,Grenoble les Frenes,707.887874476943
154,Grenoble les Frenes,1186.12549257217
155,Grenoble Grands Boulevards,1190.08705539339
156,Grenoble les Frenes,906.461066465271
157,Saint-Martin d'Heres,1967.23641545901
158,Grenoble les Frenes,604.690830182122
159,Grenoble Grands Boulevards,901.629511500278
160,Grenoble les Frenes,986.389487217334
161,Grenoble Grands Boulevards,1145.29324263553
162,Grenoble les Frenes,611.371880634587
163,Saint-Martin d'Heres,1754.32909314827
164,Grenoble Grands Boulevards,864.964933948755
165,Grenoble Grands Boulevards,2022.45616739212
166,Grenoble les Frenes,564.734405194858
167,Saint-Martin d'Heres,1507.52469517656
168,Grenoble les Frenes,345.608013708015
169,Grenoble Grands Boulevards,1126.18901487036
170,Grenoble les Frenes,244.426005972506
171,Grenoble Grands Boulevards,1487.50709763666
172,Grenoble Rocade Sud,657.561604891457
173,Grenoble Rocade Sud,1243.22353226802
174,Grenoble les Frenes,412.563966759034
175,Grenoble les Frenes,667.418352569673
176,Grenoble Grands Boulevards,1960.72139492125
177,Grenoble les Frenes,1182.550134198
178,Grenoble les Frenes,601.673074605898
179,Grenoble Grands Boulevards,610.006389010513
180,Grenoble les Frenes,502.035536720803
181,Grenoble Grands Boulevards,1618.87979437949
182,Grenoble Rocade Sud,1325.32080248321
183,Grenoble les Frenes,469.676631717033
184,Grenoble Grands Boulevards,948.5582125658
185,Grenoble les Frenes,443.710622382507
186,Grenoble les Frenes,968.219593449593
187,Grenoble Grands Boulevards,1895.17728985273
188,Saint-Martin d'Heres,1290.14613626382
189,Grenoble les Frenes,1019.49502285635
190,Saint-Martin d'Heres,1222.96674107141
191,Grenoble Grands Boulevards,809.235626081371
192,Grenoble les Frenes,1152.05622364071
193,Grenoble Rocade Sud,691.379679110941
194,Grenoble les Frenes,730.952199440848
195,Grenoble Rocade Sud,799.242253320207
196,Grenoble Grands Boulevards,654.254636821527
197,Grenoble Grands Boulevards,1147.63725865112
198,Saint-Martin d'Heres,1033.74797102007
199,Grenoble Rocade Sud,1386.7041345272
200,Grenoble Grands Boulevards,1384.04768684089
201,Grenoble les Frenes,1224.91226740921
202,Grenoble Grands Boulevards,1226.4887194558
203,Saint-Martin d'Heres,1461.98751448791
204,Grenoble Grands Boulevards,3105.96824547113
205,Grenoble les Frenes,1176.01089790229
206,Grenoble Grands Boulevards,768.306483604616
207,Grenoble les Frenes,1317.22518350384
208,Saint-Martin d'Heres,1303.983777858
209,Grenoble les Frenes,1039.96324527694
210,Saint-Martin d'Heres,1488.96990960185
211,Grenoble Grands Boulevards,1619.12305038514
212,Grenoble les Frenes,906.795014651664
213,Grenoble Rocade Sud,451.730527653363
214,Grenoble Grands Boulevards,1058.42688681444
215,Grenoble Grands Boulevards,470.387456795701
216,Grenoble les Frenes,518.768441139647
217,Grenoble Grands Boulevards,157.002165103006
218,Grenoble Grands Boulevards,1180.52873964079
219,Grenoble Rocade Sud,1003.77908090724
220,Grenoble Grands Boulevards,819.459753189119
221,Grenoble les Frenes,639.575766905687
222,Grenoble Grands Boulevards,2288.3923187479
223,Grenoble les Frenes,476.595025596059
224,Grenoble Grands Boulevards,444.510937521173
225,Grenoble les Frenes,550.164042856813
226,Grenoble Grands Boulevards,727.882445038642
227,Grenoble Rocade Sud,618.092402254222
228,Saint-Martin d'Heres,1249.76890085387
229,Grenoble Grands Boulevards,1572.97211057454
230,Grenoble Grands Boulevards,1202.84165371452
231,Grenoble Rocade Sud,591.746211324593
232,Grenoble les Frenes,996.730813799771
233,Grenoble Rocade Sud,777.656423810932
234,Saint-Martin d'Heres,1243.71452156008
235,Saint-Martin d'Heres,1388.12458518556
236,Grenoble les Frenes,641.048188519573
237,Grenoble Grands Boulevards,363.648808439672
238,Grenoble Grands Boulevards,2011.35157761185
239,Grenoble Grands Boulevards,1345.17133706059
240,Grenoble les Frenes,1050.68213049073
241,Grenoble Grands Boulevards,927.291523149981
242,Grenoble Grands Boulevards,672.013830338062
243,Grenoble les Frenes,561.942446600808
244,Saint-Martin d'Heres,997.9279995731
245,Grenoble Grands Boulevards,180.069186117236
246,Grenoble Grands Boulevards,925.576825838542
247,Saint-Martin d'Heres,1103.9457947279
248,Grenoble Grands Boulevards,33.1221064404022
249,Grenoble les Frenes,1052.62149672761
250,Saint-Martin d'Heres,1153.10832621844
251,Grenoble les Frenes,578.152178886175
252,Saint-Martin d'Heres,1437.05094172139
253,Grenoble Rocade Sud,1332.67140883052
254,Grenoble les Frenes,822.343444687809
255,Saint-Martin d'Heres,824.271914367158
256,Grenoble les Frenes,588.640125414043
257,Saint-Martin d'Heres,908.70536090954
258,Grenoble Grands Boulevards,1420.79222979181
