id,coord_x,coord_y,join_id,join_@id,join_building,join_name,join_operator,join_operator_1,join_railway,join_source,join_uic_ref,join_official_n,join_public_tra,join_train,join_platforms,join_area,join_level,join_wheelchair,join_wikidata,join_wikipedia,distance
34,1912626.5,4222020,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2874.08633899814
35,1914710.9,4221660.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3499.59694917714
36,1915106.1,4224950.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1881.85850397617
37,1913007.5,4223050,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1794.03468934611
38,1912627.6,4221726.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3161.4728623447
39,1914856.9,4220763.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,4380.97368596868
40,1912694.5,4222887,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2015.34046277023
41,1915194,4222790,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2833.40476135842
42,1915132.8,4222080,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3345.56419472421
43,1912778.9,4222138.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2729.14080806594
44,1913695.1,4223040,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1850.33136129222
45,1915239.5,4222561.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3032.13414485527
46,1912496.5,4224218,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,954.078613737393
47,1912598.1,4223042,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1896.13487922428
48,1915932.8,4223819.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2887.47222138772
49,1912607.5,4221691.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3199.68020852792
50,1915003.9,4224632.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1786.81933726235
51,1912628,4221910,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2981.43638132601
52,1914878.8,4222274,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3043.05569594694
53,1914989.5,4222409.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2993.90752402944
54,1914968.2,4222479.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2924.87094820925
55,1913341.5,4224210,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,630.705799840928
56,1914742.9,4225237.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1568.56698258625
57,1912522.9,4223685.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1344.66450318621
58,1914650.4,4223477,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1963.35398553213
59,1913524.5,4225157,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,441.043590694822
60,1915557.1,4223183.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2852.49139761504
