id,distance
1,4636873.11676756
2,4635719.03930985
3,4636556.53189087
4,4637694.00692164
5,4638045.6835518
6,4635056.80334831
7,4636045.46566761
8,4637615.94466807
9,4638387.01029204
10,4638531.61066472
11,4635256.58792078
12,4637537.93085457
13,4636560.91467046
14,4636707.47523816
15,4635811.61227852
16,4636708.12576486
17,4636695.54367158
18,4635880.64659618
19,4637215.57966613
20,4635970.40635284
21,4638534.77858475
22,4634563.8762928
23,4636525.44706458
24,4637561.4353711
25,4637547.10135708
26,4636834.67801763
27,4636498.01184588
28,4638558.26351843
29,4637551.40716513
30,4639479.05570283
31,4637979.4742312
32,4634990.99215872
33,4636064.96989257
34,4634996.06819467
35,4635529.17789584
36,4638688.75337637
37,4636091.50504707
38,4634729.17729845
39,4634772.60511538
40,4635813.87990723
41,4636757.36750949
42,4636085.49062744
43,4635166.8971281
44,4636366.16498249
45,4636568.06562754
46,4636944.6751058
47,4635915.30089152
48,4638000.10826713
49,4634689.00180464
50,4638356.92633023
51,4634896.48942625
52,4636157.24965973
53,4636326.37451753
54,4636381.3269721
55,4637285.96880361
56,4638800.22546853
57,4636470.47221858
58,4637158.56008917
59,4638224.11442819
60,4637265.71177238
61,4638939.9619106
62,4637254.34449827
63,4636386.77397953
64,4637872.39141456
65,4635508.78482906
66,4635517.9263316
67,4635721.60375561
68,4635098.95343777
69,4634387.69695244
70,4635043.33248763
71,4637076.32820493
72,4636499.11670484
73,4636234.74002574
74,4636317.91032259
75,4636895.2737228
76,4638613.22906812
77,4635878.32524292
78,4638911.53454301
79,4635507.22896864
80,4635509.93941632
81,4636337.76210412
82,4638539.58876025
83,4637380.06192223
84,4635549.10368596
85,4636444.93588089
86,4638739.92318999
87,4638693.10581713
88,4638345.73795638
89,4636814.18052318
90,4636906.30486591
91,4638714.35937468
92,4635823.87476711
93,4636197.47829108
94,4635156.18796738
95,4636786.28584008
96,4634946.47629506
97,4639422.56134084
98,4636698.28684641
99,4637788.16891345
100,4636430.63199696
101,4635513.65670018
102,4636500.32594415
103,4638915.72638667
104,4637889.31539268
105,4638372.26679345
106,4636098.37002895
107,4639244.37103135
108,4637555.10842552
109,4634776.49131843
110,4635042.43518883
111,4638109.1414248
112,4636943.62250059
113,4636932.96034433
114,4638761.46428221
115,4636505.91511072
116,4636780.83561788
117,4637627.31083114
118,4636131.34782059
119,4638536.21419127
120,4638118.08070641
121,4637842.59813687
122,4637508.84736838
123,4635413.57335443
124,4637137.57123725
125,4637527.65047457
126,4635486.90183253
127,4637914.24551916
128,4636331.89498335
129,4639503.33023307
130,4636642.29403027
131,4636608.89224735
132,4635030.97565373
133,4635224.19882063
134,4636978.96302187
135,4637872.74600099
136,4636573.00069087
137,4638005.80253855
138,4638277.09413314
139,4638318.92735854
